brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 06G-P4-4995-KR 6GB SC+ GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",525.0,4.0,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4995-kr/p/N82E16814487142?Description=GTX,Yes,1190 MHz,EVGA,2816,"10.50"" x 4.38""",NVIDIA,Double Fans,1102 MHz,1 x Dual-link DVI-I,2/22/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"EVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Fans use Double Ball Bearing for 400% longer lifespanPreinstalled EVGA Backplate for extra reinforcement and great aestheticsEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4995-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,6-Pin / 8-Pin,400MHz,NONE,"2 Way, 3 Way, or 4 Way SLI",NONE,Dual Slot,NONE,Max Power Draw: 250WRecommended PSU: 600W,260W,NONE,Yes,-270,266.7,111.252,1190,1102,7010.0,270.0
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 06G-P4-1996-KR 6GB HYBRID GAMING, ""All in One"" No Hassle Water Cooling, Just Plug and Play Graphics Card",599.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-ti-hybrid-06g-p4-1996-kr/p/N82E16814487144?Description=GTX,NONE,1228 MHz,EVGA,2816,"10.50"" x 4.38""",NVIDIA,Hybrid Cooler,1140 MHz,1 x Dual-link DVI,3/27/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"First Ever, Hybrid Cooled GTX 980TiEVGA ""All in One Cooling"" w/o the Hassle- Keeps GPU 20-30C Cooler- No filling, no custom tubing, no maintenance. Just Plug and Play! - Sleek look- Virtually Silent Operation, fan speed based on GPU temperature- Built in Radiator and Fan (can be swapped or customized)- Separate VRM and Memory Cooling from GPUEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 980 Ti Hybrid,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-1996-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter2 x EVGA Velcro Ties4 x Zip Ties1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,6-Pin / 8-Pin,400MHz,NONE,"2 Way, 3 Way, or 4 Way SLI",NONE,Dual Slot,NONE,Max Power Draw: 250WRecommended PSU: 600W,260W,NONE,Yes,-119,266.7,111.252,1228,1140,7010.0,119.0
ASUS,GTX 980,ASUS GeForce GTX 980 STRIX-GTX980-DC2OC-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,199.99,4.0,75.0,https://www.newegg.com/asus-geforce-gtx-980-strix-gtx980-dc2oc-4gd5/p/N82E16814121905?Description=GTX,NONE,1279 MHz,ASUS,2048,"11.36"" x 5.30""",NVIDIA,Double Fans,1178 MHz,1 x DVI-I,10/7/2020,NONE,3 x DisplayPort,NONE,7010 MHz,"1279 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time - so others can watch live as games are played.",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,STRIX-GTX980-DC2OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,Accessories:1 x Power cable,6-Pin / 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 300W,165W,NONE,Yes,0 reviews,288.5440000000001,134.62,1279,1178,7010.0,0.0
ASUS,GTX 980,ASUS ROG GeForce GTX 980 MATRIX-GTX980-P-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Gaming Video Card,249.99,4.0,105.0,https://www.newegg.com/asus-geforce-gtx-980-matrix-gtx980-p-4gd5/p/N82E16814121908?Description=GTX,Yes,1342 MHz,ASUS,NONE,"11.70"" x 6.00""",NVIDIA,With Fan,1241 MHz,1 x Native Dual-link DVI-I,10/7/2020,NONE,3 x Native DisplayPort 1.2,Yes,7010 MHz,"1342 MHz Boost Clock:1342 MHz Boost clock, 126 MHz higher than reference, for better performance and outstanding gaming experienceGigantic 4GB GDDR5 Memory:On-boarcl memory for the best gaming experience & the best resolutionNVIDIA GPU Boost 2.0Technology for intelligent monitoring of clock speed, ensuring that the GPU runs at its peak and the game is at its highest frame rate possible. It offers new levels of customization, including GPU temperature target, overclocking, and unlocked voltage.NVIDIA Adaptive V-Sync :NVIDIA Adaptive Vertical Sync adjusts VSync to current frame rates for maximum payabilityNVIDIA PhysX ready:Dynamic visual effects like blazing explosions, reactive debris, realistic water, and lifelike characters.SLI Support:Multi-GPU technology for extreme performanceNVIDIA 3D Vision Surround Ready:Bring games to life with NVIDIA Surround multi-monitor gaming on a single cardPCIE 3.0:Delivers double the bandwidth per lane of PCIe Gen 2 for faster GPU - CPU communication",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x Native HDMI 2.0,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,MATRIX-GTX980-P-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,Accessory1 x Power Cable1 x ROG Metal Sticker,NONE,NONE,NONE,SLI Ready,ROG,Dual Slot,2048 Stream Processors,NONE,165W,NONE,Yes,0 reviews,297.18,152.4,1342,1241,7010.0,0.0
ASUS,GTX 980,ASUS GeForce GTX 980 Ti STRIX-GTX980TI-DC3OC-6GD5-GAMING 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,309.99,4.0,75.0,https://www.newegg.com/asus-geforce-gtx-980-ti-strix-gtx980ti-dc3oc-6gd5-gaming/p/N82E16814121972?Description=GTX,Yes,OC Mode,ASUS,2816,"12.01"" x 5.99""",NVIDIA,Triple Fans,OC Mode: 1216 MHzGaming Mode: 1190 MHz,1 x Native DVI,10/7/2020,NONE,3 x Native DisplayPort,Yes,7200 MHz,"Factory-overclocked at 1291 MHz GPU boost clock, with 7200 MHz memory speed; 1317 MHz GPU boost clock in OC mode provides faster gaming experience.Strix drives DirectCU III with Triple Patented Wing-Blade 0dB Fan Design that lets you enjoy games like League of Legends and StarCraft in absolute silence! And during heavy loading, Strix performs 30% cooler and 3X quieter than reference.ASUS uses 12+2 phase AUTO-EXTREME Technology with Super Alloy Power II which is premium aerospace-grade quality and reliability.AUTO-EXTREME technology is an industry-first 100% automated production process.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x Native HDMI 2.0,PCI Express 3.0,NONE,NONE,NONE,384-Bit,6GB,GDDR5,STRIX-GTX980TI-DC3OC-6GD5-GAMING,NONE,OpenGL 4.5,NONE,NONE,NONE,Adapter/Cable Bundled:1 x Power Cable1 x STRIX Laser StickerSoftware Bundled:ASUS GPU Tweak & Driver,2 x 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 375W,260W,NONE,Yes,0 reviews,305.0540000000001,152.14600000000004,0,1216,7200.0,0.0
MSI,GTX 980,MSI GeForce GTX 980 Ti DirectX 12 GTX 980Ti 6GD5 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Card,420.0,,,https://www.newegg.com/msi-geforce-gtx-980-ti-gtx-980ti-6gd5/p/N82E16814137193?Description=GTX,Yes,1076 MHz,MSI,2816,"10.83"" x 4.33""",NVIDIA,Single Fan,1000 MHz,1 x DL-DVI-I,12/5/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12benchmark.- Supports multi-GPUsetupsGPU Boost 2.0 Technology- Ensures the GPU runs at its peak performance and games at their highest frame rate possible.- Offer new levels of customization including GPU temperature target, overclocking, and unlocked voltage3DVision Surround- Supports 3 displays in full stereoscopic 3D with a single card.- Supports up to 4 displays with a single card",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,275 mm,NONE,384-Bit,6GB,GDDR5,GTX 980Ti 6GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,Quad SLI,NONE,NONE,NONE,Power Consumption: 250W,260W,NONE,Yes,0 reviews,275.082,109.982,1076,1000,7010.0,0.0
EVGA,GTX 980,"EVGA GeForce GTX 980 04G-P4-2982-KR 4GB SC GAMING, Silent Cooling Graphics Card",480.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-2982-kr/p/N82E16814487068?Description=GTX,NONE,1342 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,Single Fan,1241 MHz,1 x DVI,1/4/2019,NONE,3 x DisplayPort,Yes,7010 MHz,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2982-KR,NONE,NONE,NONE,NONE,NONE,NONE,2 x 6-Pin,NONE,NONE,NONE,NONE,Dual Slot,NONE,Minimum 500W Power Supply,165W,NONE,Yes,-88,266.7,111.252,1342,1241,7010.0,88.0
EVGA,GTX 980,"EVGA GeForce GTX 980 04G-P4-2983-KR 4GB SC GAMING w/ACX 2.0, 26% Cooler and 36% Quieter Cooling Graphics Card",475.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-2983-kr/p/N82E16814487079?Description=GTX,NONE,1367 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,Double Fans,1266 MHz,1 x DVI,12/10/2018,DirectX 12,3 x DisplayPort,Yes,NONE,"EVGA ACX 2.0This card features EVGA ACX 2.0 cooling. With optimized Swept fan blades, double ball bearings and an extreme low power motor, EVGA ACX 2.0 delivers more air flow with less power, unlocking additional power for the GPU.Dynamic Super Resolution TechnologyEnable the detail of 4K monitors, on a 1080P display. DSR produces smoother images by rendering a game at a high resolution, then downscaling it to the native resolution of the display using advanced filtering.Super-Smooth and Stutter-FreeGeForce GTX 980 and 970 cards support tear-free, super-fast NVIDIA G-Sync monitor display technology, including 4K. Together, these technologies provide the most immersive and competitive gaming experiences possible.",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2983-KR,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Minimum 500W Power Supply,165W,NONE,Yes,-232,266.7,111.252,1367,1266,0.0,232.0
EVGA,GTX 980,"EVGA GeForce GTX 980 04G-P4-5988-KR 4GB K|NGP|N GAMING w/ACX 2.0+, Whisper Silent w/ Multi-Color LED Cooler, Customized Overclocking Graphics Card",539.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-5988-kr/p/N82E16814487099?Description=GTX,Yes,1418 MHz,EVGA,2048,"11.00"" x 5.94""",NVIDIA,Double Fans,1304 MHz,1 x Dual-link DVI-I,1/4/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"GTX 980 K|NGP|N Overclocking Perfection, 14+3 Phase Fully Digital VRM- Includes single slot bracket to convert to single slot card with waterblock- Quick Triple BIOS switch- RGB LED on cardEVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Surrounded in premium metal shroud- Fans use Double Ball Bearing for 400% longer lifespanEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-5988-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,Accessories:1 x Driver CD1 x Installation Guide1 x Single Slot Bracket1 x DVI-I to VGA Adapter 2 x MiniDP to DP1 x MiniDP to MiniHDMI1 x MiniDP to DVI-I1 x 4-Pin(2) to 6Pin Adapter2 x 6-Pin(2) to 8Pin Adapter1 x Probe-It Connector1 x Special EVGA T-Shirt1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,6-Pin / 8-Pin,400MHz,NONE,"2-Way, 3-Way, or 4-Way SLI",NONE,Dual Slot,2048 Stream Processors,Max Power Draw: 300WRecommended PSU: 500W,165W,NONE,Yes,-13,279.4,150.876,1418,1304,7010.0,13.0
EVGA,GTX 980,"EVGA GeForce GTX 980 04G-P4-1989-KR 4GB HYBRID GAMING, ""All in One"" No Hassle Water Cooling, Just Plug and Play Graphics Card",439.0,4.0,,https://www.newegg.com/evga-geforce-gtx-980-hybrid-04g-p4-1989-kr/p/N82E16814487131?Description=GTX,NONE,1393 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,Hybrid Cooler,1291 MHz,1 x DVI-I,4/3/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA GSYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Duallink DVIPCI Express 3.0",NONE,GeForce GTX 980 Hybrid,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-1989-KR,4,OpenGL 4.4,"Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,NONE,2 x 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,"500 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.",NONE,NONE,Yes,0 reviews,266.7,111.252,1393,1291,7010.0,0.0
EVGA,GTX 980,"EVGA GeForce GTX 980 04G-P4-1980-KR 4GB GAMING, Silent Cooling Graphics Card",460.0,3.0,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-1980-kr/p/N82E16814487135?Description=GTX,NONE,1216 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,NONE,1126 MHz,1 x DVI-I,9/11/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,04G-P4-1980-KR,4,OpenGL 4.4,"Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,NONE,2 x 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,"500 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.",165W,NONE,Yes,-2,266.7,111.252,1216,1126,7010.0,2.0
MSI,GTX 980,MSI GeForce GTX 980 Ti DirectX 12 GTX 980TI 6GD5T 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Card,465.0,,,https://www.newegg.com/msi-geforce-gtx-980-ti-gtx-980ti-6gd5t/p/N82E16814137154?Description=GTX,NONE,1190 MHz,MSI,NONE,"10.91"" x 5.31""",NVIDIA,Double Fans,1102 MHz,1 x Dual-link DVI-I,10/23/2020,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produce 20% more airflow than traditional fan design.- Produces less noise than traditional fan designs.Airflow Control technology- Deflects more airflow to heatpipes and improves airflow efficiency.- Increases the heatsink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,277 mm,4096 x 2160,384-Bit,6GB,GDDR5,GTX 980TI 6GD5T,4,OpenGL 4.5,NONE,NONE,NONE,NONE,2 x 8-Pin,400MHz,NONE,Quad SLI,NONE,Dual Slot,2816 Stream Processors,Power Consumption: 250WRecommended PSU: 600W,260W,NONE,Yes,0 reviews,277.11400000000003,134.874,1190,1102,7010.0,0.0
MSI,GTX 980,MSI GeForce GTX 980 DirectX 12 GTX 980 GAMING 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support G-SYNC Support Video Card,380.0,,,https://www.newegg.com/msi-geforce-gtx-980-gtx-980-gaming-4g/p/N82E16814137192?Description=GTX,NONE,1317MHz ,MSI,2048,"10.98"" x 5.51""",NVIDIA,Double Fans,1216MHz  (OC Mode)1190MHz (Gaming Mode)1140MHz (Silent Mode),1 x DVI,5/9/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,OC ModeMaximum Performance through higher clock speeds and increased fan performanceGaming Mode (Default)The best balance between in-game performance and thermalSilent ModeThe best environment for minimal fan noise,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,279 mm,4096 x 2160,256-Bit,4GB,GDDR5,GTX 980 GAMING 4G,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,Quad SLI,NONE,Dual Slot,NONE,Minimum 500W Power Supply,165W,NONE,Yes,0 reviews,278.892,139.954,1317,1216,7010.0,0.0
Corn,GTX 980,"CORN GTX 980 256-Bit 4GB GDDR5 Graphic Card with three fans 1792 CUDASVideo Card GPU PCI Express 3.0 3×DP/1×DVI-D/1×HDMI,Play for LOL,DOTA,COD,War Thunder etc.",324.99,,,https://www.newegg.com/p/1FT-0040-00027?Description=GTX,NONE,NONE,NONE,1792,NONE,NVIDIA,Triple Fans,1127MHz,1 x DVI,3/25/2019,NONE,3 x DisplayPort,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,1127,0.0,0.0
EVGA,GTX 980,EVGA Nvidia Geforce GTX 980 4GB GDDR5 (04G-P4-2980-KR) Graphics Video Card GPU,385.0,5.0,,https://www.newegg.com/p/1FT-001K-003M5?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,12/18/2019,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,-1,0.0,0.0,0,0,0.0,1.0
EVGA,GTX 980,EVGA GeForce GTX 980 Ti SC GAMING ACX 2.0 6GB Graphics Card 06G-P4-4995-KR,399.0,,,https://www.newegg.com/p/1FT-001K-006G4?Description=GTX,NONE,NONE,EVGA,NONE,NONE,NVIDIA,Double Fans,NONE,NONE,12/18/2019,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6GB,NONE,NONE,NONE,NONE,NONE,GTX 980 SC,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,260W,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 06G-P4-4996-KR 6GB FTW GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",480.0,,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4996-kr/p/1FT-001K-006H6?Description=GTX,Yes,1291 MHz,EVGA,2816,"10.50"" x 4.38""",NVIDIA,Double Fans,1190 MHz,1 x DVI,9/11/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,NONE,NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4996-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",GTX 980 Ti FTW ACX 2.0+,NONE,NONE,2 x 8-Pin,400MHz,NONE,Quad SLI,NONE,Dual Slot,NONE,Max Power Draw: 275W. Recommended PSU: 600W,260W,NONE,Yes,0 reviews,266.7,111.252,1291,1190,7010.0,0.0
EVGA,GTX 980,EVGA GeForce GTX 980 04G-P4-1980-KR 4GB 256-Bit GDDR5 PCI Express 3.0 Graphics Card,395.0,,13.5,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-1980-kr/p/1FT-001K-00723?Description=GTX,NONE,1216 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,NONE,1126 MHz,1 x DVI,4/28/2020,DirectX 12,3 x DisplayPort,Yes,7010 MHz,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,04G-P4-1980-KR,4,OpenGL 4.4,"Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",GTX 980 Reference,NONE,NONE,2 x 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,"500 Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",165W,NONE,Yes,0 reviews,266.7,111.252,1216,1126,7010.0,0.0
EVGA,GTX 980,EVGA GeForce GTX 980 Ti VR Edition DirectX 12 GTX 980Ti 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Card,459.0,,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-3998-rx/p/1FT-001K-00745?Description=GTX,Yes,1076 MHz,EVGA,2816,"10.83"" x 4.33""",NVIDIA,Air Cooler,1000 MHz,1 x DVI,8/23/2020,DirectX 12,2 x DisplayPort,Yes,7010,NONE,Plug-in CardFull-height,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,2 x HDMI,PCI Express 3.0 x16,No,275mm,NONE,384-Bit,6GB,NONE,06G-P4-3998-RX,Yes,OpenGL 4.4,NONE,GTX 980 Ti VR Edition,NONE,NONE,6-Pin / 8-Pin,NONE,Yes,4-Way SLI,Founders VR Edition,Dual Slot,NONE,NONE,260W,NONE,Yes,0 reviews,275.082,109.982,1076,1000,7010.0,0.0
