brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMINGOC WHITE-8GD REV2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,599.99,5.0,45.0,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgamingoc-white-8gd-rev2-0/p/N82E16814932240?Description=rtx,NONE,GIGABYTE,2176,"11.04"" x 4.58""",NVIDIA,WINDFORCE 3X,1710 MHz,NONE,10/14/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - 16.7M colors synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2060 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,280 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SGAMINGOC WHITE-8GD REV2.0,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation: 550W,215W,Yes,36 (64% Positive),280.416,116.332,0,1710,14000.0,36.0
ASUS,RTX 2060,Asus GeForce RTX 2060 Turbo 6GB GDDR6 Graphics Card,494.06,,,https://www.newegg.com/p/1FT-000Y-00448?Description=rtx,NONE,ASUS,NONE,NONE,NONE,NONE,NONE,NONE,9/24/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,404.48,,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060wf2oc-6gd-r2/p/1FT-000A-00107?Description=rtx,NONE,GIGABYTE,1920,"10.43"" x 4.75""",NVIDIA,NONE,1770 MHz,NONE,5/18/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060  Integrated with 6GB GDDR6 192-bit memory interface  WINDFORCE 2X Cooling System with alternate spinning fans  100mm unique blade fans  Protection back plate,ATX,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,265 mm,7680 x 4320 @ 60 Hz,192-Bit,6GB,GDDR6,GV-N2060WF2OC-6GD R2,4,OpenGL 4.5,NONE,NONE,NONE,Accessories: Quick guide Driver CD,8-Pin,NONE,No,NONE,Dual Slot,Recommended PSU: 500W,160W,Yes,0 reviews,264.922,120.65,0,1770,14000.0,0.0
ASUS,RTX 2060,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),459.54,4.0,31.0,https://www.newegg.com/asus-geforce-rtx-2060-tuf-rtx2060-o6g-gaming/p/N82E16814126311?Description=rtx,1740 MHz (OC mode)1710 MHz (Gaming mode),ASUS,1920,"8.03"" x 4.92""",NVIDIA,Double Fans,1395 MHz (OC mode)1365 MHz (Gaming mode),1 x DL-DVI-D,10/28/2020,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA TURING GPU architecture and the all-new RTX platform provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12 enables new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Dual-ball fan bearing design can last up to twice as long as sleeve bearing designs.IP5X dust resistance offers protection from particle ingress for better durability.Auto-Extreme Technology uses automation to enhance reliability.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.TUF Compatibility Testing runs cards through a suite of tests to ensure TUF Gaming motherboards, chassis, and other TUF Gaming alliance components work together flawlessly.GPU Tweak II provides intuitive performance tweaking and thermal controls.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,204 mm,7680 x 4320,192-Bit,6GB,GDDR6,TUF-RTX2060-O6G-GAMING,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,NONE,No,TUF Gaming,2.3-slot,Recommended PSU: 500W,160W,Yes,883 (79% Positive),203.962,124.968,1740,1395,14000.0,883.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,549.99,4.0,75.0,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-o8g-gaming/p/N82E16814126331?Description=rtx,NONE,ASUS,2176,"11.80"" x 5.10""",NVIDIA,Triple Fans,NONE,NONE,10/28/2020,NONE,2 x DisplayPort 1.4,NONE,NONE,NONE,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Wing-blade fan design incorporates drooped tips on each blade to reduce drag.0dB Technology lets you enjoy light gaming in relative silence.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,301 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2060S-O8G-GAMING,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5 slot,Recommended PSU: 550W,175W,Yes,883 (79% Positive),299.72,129.54,0,0,0.0,883.0
ZOTAC,RTX 2060,"ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T20600H-10M",379.9,4.0,,https://www.newegg.com/zotac-geforce-rtx-2060-zt-t20600h-10m/p/N82E16814500478?Description=rtx,1680 MHz,ZOTAC,1920,"8.30"" x 4.70""",NVIDIA,Double Fans,NONE,NONE,9/29/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14.0 Gbps,IceStorm 2.0GDDR6 memoryOC Scanner,NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,210 mm,7680 x 4320,192-Bit,6GB,GDDR6,ZT-T20600H-10M,4,OpenGL 4.5,Windows 10 / 7 x64,NONE,NONE,ZOTAC GAMING GeForce RTX 2060 graphics cardUser Manual,8-Pin,NONE,No,NONE,Dual Slot,Recommended Power Supply: 500W,160W,Yes,247 (72% Positive),210.82,119.38,1680,0,14.0,247.0
GIGABYTE,RTX 2060,"GIGABYTE Geforce RTX 2060 MINI ITX OC 6G Graphics Card, Mini ITX Form Factor, 6GB 192-Bit GDDR6, GV-N2060IXOC-6GD Video Card",499.99,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060ixoc-6gd/p/N82E16814932117?Description=rtx,NONE,GIGABYTE,1920,"6.69"" x 4.78""",NVIDIA,Single Fan,1695 MHz,NONE,10/27/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interface90mm unique blade fan170mm compact card size,ATX,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,170 mm,7680 x 4320 @ 60 Hz,192-Bit,6GB,GDDR6,GV-N2060IXOC-6GD,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation (W): 500,160W,Yes,36 (64% Positive),169.926,121.412,0,1695,14000.0,36.0
MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,499.99,,,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/1FT-0009-002A0?Description=rtx,1830 MHz,MSI,1920,"9.72"" x 5.08""",NVIDIA,Double Fans,NONE,NONE,3/27/2019,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Twin Frozr 7 Thermal Design: TORX Fan 3.0 - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light: Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center: 1 click to optimize all you need for smooth gaming.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,247 mm,7680 x 4320,192-Bit,6GB,GDDR6,RTX 2060 GAMING Z 6G,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,NONE,NONE,NONE,Power consumption: 190W Recommended PSU: 500W,190W,Yes,0 reviews,246.888,129.032,1830,0,14.0,0.0
ASUS,RTX 2060,ASUS GeForce RTX 2060 SUPER Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060S-O8G-EVO),599.99,5.0,75.0,https://www.newegg.com/asus-geforce-rtx-2060-super-dual-rtx2060s-o8g-evo/p/N82E16814126334?Description=rtx,1725 MHzGaming mode: 1695 MHz,ASUS,2176,"10.51"" x 4.65""",NVIDIA,Double Fans,OC mode: 1500 MHzGaming mode: 1470 MHz,1 x DL-DVI-D,10/28/2020,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,14000 MHz,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2060S-O8G-EVO,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x Quick Guide,8-Pin,NONE,No,Dual,2.7 slot,Recommended PSU: 550W,175W,Yes,883 (79% Positive),266.954,118.11,1725,1500,14000.0,883.0
MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,729.99,,,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-6g/p/1FT-0009-004F0?Description=rtx,1680 MHz,MSI,1920,"9.72"" x 5.08""",NVIDIA,Double Fans,NONE,NONE,3/10/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Twin Frozr 7 Thermal Design TORX Fan 3.0 - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center A consolidated platform that offers all software including MYSTIC LIGHT and One-Click Overclocking functionality for your MSI Gaming product.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,247 mm,7680 x 4320,192-Bit,6GB,GDDR6,RTX 2060 GAMING 6G,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 500W,160W,Yes,0 reviews,246.888,129.032,1680,0,14.0,0.0
MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,519.99,,,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/1FT-0009-00446?Description=rtx,1830 MHz,MSI,1920,"9.72"" x 5.08""",NVIDIA,Double Fans,NONE,NONE,10/9/2019,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Twin Frozr 7 Thermal Design: TORX Fan 3.0 - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light: Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center: 1 click to optimize all you need for smooth gaming.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,247 mm,7680 x 4320,192-Bit,6GB,GDDR6,RTX 2060 GAMING Z 6G,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 500W,190W,Yes,0 reviews,246.888,129.032,1830,0,14.0,0.0
MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,655.99,,99.99,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming-x/p/1FT-0009-004E0?Description=rtx,1695 MHz,MSI,2176,"9.76"" x 5.04""",NVIDIA,Double Fans,NONE,NONE,10/24/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gpbs,"Twin Frozr 7 Thermal Design TORX Fan 3.0 - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  Dragon Center A consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,248 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2060 SUPER GAMING X,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 550W,175W,Yes,0 reviews,247.904,128.016,1695,0,14.0,0.0
MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS C 6G OCV1 192-Bit GDDR6 PCI Express 3.0 x16  Video Card,469.99,,99.99,https://www.newegg.com/p/1FT-0009-004U4?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,10/19/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SWF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,599.99,5.0,99.99,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2-8gd/p/N82E16814932335?Description=rtx,NONE,GIGABYTE,2176,"10.43"" x 4.76""",NVIDIA,WINDFORCE 2X,1650 MHz,NONE,10/21/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection Back Plate,ATX,GeForce RTX 2060 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,265 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SWF2-8GD,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation: 550W,NONE,Yes,36 (64% Positive),264.922,120.904,0,1650,14000.0,36.0
GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 WINDFORCE OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060WF2OC-6GD Video Card",599.99,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060wf2oc-6gd/p/N82E16814932114?Description=rtx,NONE,GIGABYTE,1920,"10.43"" x 4.75""",NVIDIA,WINDFORCE 2X,1770 MHz,NONE,10/10/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection back plate,ATX,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,265 mm,7680 x 4320 @ 60 Hz,192-Bit,6GB,GDDR6,GV-N2060WF2OC-6GD,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation (W): 500,160W,Yes,36 (64% Positive),264.922,120.65,0,1770,14000.0,36.0
MSI,RTX 2060,MSI G2060VXS6C RTX 2060 VENTUS XS 6G OC,367,,,https://www.newegg.com/p/1FT-0009-00324?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6/12/2019,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,RTX 2060,EVGA 06G-P4-2067-KR  NVIDIA GeForce RTX 2060 SC Ultra GAMING 6GB GDDR6 DVI/HDMI/DisplayPort PCI-Express Video Card,387,,,https://www.newegg.com/p/0ZK-02U6-000E9?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,10/11/2019,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,RTX 2060,EVGA 08G-P4-3162-KR  NVIDIA GeForce RTX 2060 Super XC GAMING 8GB GDDR6 HDMI/3DisplayPort/USB Type-C PCI-Express Video Card w/ RGB LED,610,,,https://www.newegg.com/p/0ZK-02U6-000F2?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,10/22/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,247 (72% Positive),0.0,0.0,0,0,0.0,247.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC Gaming, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2063-KR",498.99,,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2063-kr/p/1FT-001K-00482?Description=rtx,1755 MHz,EVGA,1920,"7.48"" x 4.38""",NVIDIA,Single Fan,NONE,1 x Dual-Link DVI-D,4/20/2019,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA Ansel  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,190 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2063-KR,3,OpenGL 4.5,"Windows 10 (64-bit), Windows 7 (64-bit)",NONE,NONE,NONE,8-Pin,NONE,No,NONE,2.75 Slot,"Total Power Draw: 160 Watts. 500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",190W,Yes,0 reviews,189.992,111.252,1755,0,14000.0,0.0
EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",775.48,,,https://www.newegg.com/p/0VE-01PT-00089?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8/25/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
MSI,RTX 2060,MSI G2060GZ6 RTX 2060 GAMING Z 6G OC 6GB,417.76,,,https://www.newegg.com/p/1FT-0009-00320?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,9/13/2019,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 Super SC Ultra Gaming, 08G-P4-3067-KR, 8GB GDDR6, Dual HDB Fans, Metal Backplate",694.49,,,https://www.newegg.com/p/231-00BC-00145?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,7/6/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,RTX 2060,EVGA NVIDIA GeForce RTX 2060 XC BLACK GAMING 6GB GDDR6 192-bit PCI-Express 3.0 DVI/HDMI/2DisplayPorts PCI-Express Video Card,535.98,,13.24,https://www.newegg.com/p/1FT-001K-006Z4?Description=rtx,NONE,NONE,1920,NONE,NVIDIA,NONE,NONE,NONE,11/22/2019,DirectX 12,NONE,NONE,NONE,14000 MHz,NONE,NONE,NONE,NONE,NONE,1 x HDMI,NONE,NONE,NONE,192-Bit,6GB,GDDR6,RTX 2060,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,400MHz,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,14000.0,0.0
ZOTAC,RTX 2060,ZOTAC Gaming GeForce® RTX 2060 SUPER AMP Extreme 8GB GDDR6 256-bit Graphics Card,639.98,,28.54,https://www.newegg.com/p/1FT-000M-002J5?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,12/4/2019,DirectX 12.1,NONE,NONE,NONE,14.0 Gbps,NONE,NONE,NONE,NONE,NONE,NONE,PCI Express 3.0,NONE,NONE,256 bit,8GB,GDDR6,RTX 2060,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,14.0,0.0
EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",549.99,,,https://www.newegg.com/p/0VE-01PT-00038?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,7/17/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",777.4,,,https://www.newegg.com/p/0VE-01PT-00068?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8/14/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
ASUS,RTX 2060,"ASUS DUAL-RTX2060S-O8G-EVO-V2 - OC Edition - graphics card - GF RTX 2060 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - DVI, 2 x HD",694.91,,43.0,https://www.newegg.com/p/1DW-0027-001B7?Description=rtx,NONE,ASUS,NONE,NONE,NONE,NONE,NONE,NONE,6/24/2020,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
