,brand,model,product_name,price,rating,shipping,url
39,MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$655.99 (2 Offers)–,,$99.99 Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming-x/p/1FT-0009-004E0?Description=rtx
40,MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS C 6G OCV1 192-Bit GDDR6 PCI Express 3.0 x16  Video Card,$469.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-0009-004U4?Description=rtx
41,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SWF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$599.99 (3 Offers)–,5,$99.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2-8gd/p/N82E16814932335?Description=rtx
42,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 WINDFORCE OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060WF2OC-6GD Video Card",$599.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060wf2oc-6gd/p/N82E16814932114?Description=rtx
43,MSI,RTX 2060,MSI G2060VXS6C RTX 2060 VENTUS XS 6G OC,$367.00 –,,Free Shipping,https://www.newegg.com/p/1FT-0009-00324?Description=rtx
44,EVGA,RTX 2060,EVGA 06G-P4-2067-KR  NVIDIA GeForce RTX 2060 SC Ultra GAMING 6GB GDDR6 DVI/HDMI/DisplayPort PCI-Express Video Card,$387.00 –,,Free Shipping,https://www.newegg.com/p/0ZK-02U6-000E9?Description=rtx
45,EVGA,RTX 2060,EVGA 08G-P4-3162-KR  NVIDIA GeForce RTX 2060 Super XC GAMING 8GB GDDR6 HDMI/3DisplayPort/USB Type-C PCI-Express Video Card w/ RGB LED,$610.00 (2 Offers)–,,Free Shipping,https://www.newegg.com/p/0ZK-02U6-000F2?Description=rtx
46,EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC Gaming, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2063-KR",$498.99 –,,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2063-kr/p/1FT-001K-00482?Description=rtx
47,EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$775.48 –,,Free Shipping,https://www.newegg.com/p/0VE-01PT-00089?Description=rtx
48,MSI,RTX 2060,MSI G2060GZ6 RTX 2060 GAMING Z 6G OC 6GB,$417.76 –,,Free Shipping,https://www.newegg.com/p/1FT-0009-00320?Description=rtx
49,EVGA,RTX 2060,"EVGA GeForce RTX 2060 Super SC Ultra Gaming, 08G-P4-3067-KR, 8GB GDDR6, Dual HDB Fans, Metal Backplate",$694.49 (2 Offers)–,,Special Shipping,https://www.newegg.com/p/231-00BC-00145?Description=rtx
50,EVGA,RTX 2060,EVGA NVIDIA GeForce RTX 2060 XC BLACK GAMING 6GB GDDR6 192-bit PCI-Express 3.0 DVI/HDMI/2DisplayPorts PCI-Express Video Card,$535.98 –,,$13.24 Shipping,https://www.newegg.com/p/1FT-001K-006Z4?Description=rtx
51,ZOTAC,RTX 2060,ZOTAC Gaming GeForce® RTX 2060 SUPER AMP Extreme 8GB GDDR6 256-bit Graphics Card,$639.98 –,,$28.54 Shipping,https://www.newegg.com/p/1FT-000M-002J5?Description=rtx
52,EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$549.99 –,,Special Shipping,https://www.newegg.com/p/0VE-01PT-00038?Description=rtx
53,EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$777.40 –,,Free Shipping,https://www.newegg.com/p/0VE-01PT-00068?Description=rtx
54,ASUS,RTX 2060,"ASUS DUAL-RTX2060S-O8G-EVO-V2 - OC Edition - graphics card - GF RTX 2060 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - DVI, 2 x HD",$694.91 –,,$43.00 Shipping,https://www.newegg.com/p/1DW-0027-001B7?Description=rtx
55,EVGA,RTX 2060,"EVGA GeForce RTX 2060 Super SC Ultra Gaming, 08G-P4-3067-KR, 8GB GDDR6, Dual HDB Fans, Metal Backplate",$693.99 –,,Special Shipping,https://www.newegg.com/p/231-00BC-000V7?Description=rtx
56,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-A8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$599.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004X5?Description=rtx
57,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMINGOC WHITE-8GD REV2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$581.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001D1?Description=rtx
58,EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$791.63 –,,Free Shipping,https://www.newegg.com/p/0VE-01PT-000B3?Description=rtx
59,EVGA,RTX 2060,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate","$1,020.79 –",,Free Shipping,https://www.newegg.com/p/2YM-0028-00028?Description=rtx
60,ZOTAC,RTX 2060,ZOTAC Gaming GeForce® RTX 2060 Twin Fan Graphics Card,$476.99 –,,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-2060-zt-t20600h-10m/p/1FT-000M-002M8?Description=rtx
61,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card",$540.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001D0?Description=rtx
62,ASUS,RTX 2060,"ASUS TUF-RTX2060-O6G-GAMING - OC Edition - graphics card - GF RTX 2060 - 6 GB GDDR6 - PCIe 3.0 x16 - DVI, 2 x HDMI, Disp",$486.35 –,,$37.00 Shipping,https://www.newegg.com/p/1FT-000Y-004H5?Description=rtx
63,EVGA,RTX 2060,EVGA 06G-P4-2067-KR  VCX 06G-P4-2067-KR GeForce RTX 2060 SC GAMING 6GB GDDR6 Dual HDB Fans,$387.00 –,,Free Shipping,https://www.newegg.com/p/1FT-001K-00561?Description=rtx
64,PNY,RTX 2060,PNY VCG20606SFPPB GeForce RTX 2060 6GB GDDR6 Graphics Card,$521.36 –,,$31.00 Shipping,https://www.newegg.com/p/1FT-000P-003G1?Description=rtx
65,MSI,RTX 2060,MSI Video G2060VXS6C GeForce RTX 2060 Ventus XS Graphics Card,$399.00 (2 Offers)–,,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-ventus-xs-6g-oc/p/1FT-0009-002F3?Description=rtx
66,PNY,RTX 2060,PNY GeForce RTX 2060 Graphic Card - 1.37 GHz Core - 1.68 GHz Boost Clock - 6 GB GDDR6 - Full-height - Dual Slot Space Required,$564.62 –,,$31.00 Shipping,https://www.newegg.com/p/N82E16814133791?Description=rtx
67,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",$409.45 –,,Free Shipping,https://www.newegg.com/p/1FT-001K-00570?Description=rtx
68,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$655.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004V7?Description=rtx
69,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$513.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004W8?Description=rtx
70,ASUS,RTX 2060,Asus ROG Strix ROG-STRIX-RTX2060S-A8G-EVO-GAMING GeForce RTX 2060 SUPER Graphic Card - 8GB GDDR6,$636.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004Y0?Description=rtx
71,ASUS,RTX 2060,Asus Phoenix GeForce RTX 2060 GDDR6 Graphics Card - 6 GB,$479.90 (2 Offers)–,,Free Shipping,https://www.newegg.com/p/1FT-000Y-004F8?Description=rtx
72,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$620.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004W0?Description=rtx
73,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$591.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004X1?Description=rtx
