Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,,,,,,,,"['December 04, 2019']",['DirectX 12.1'],,,,['14.0 Gbps'],,,,,,,['PCI Express 3.0'],,,['256 bit'],['8GB'],['GDDR6'],['RTX 2060'],,['OpenGL 4.5'],,,,,,,,,,,,,0 reviews
,,,,,,,,"['July 17, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['August 14, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['ASUS'],,,,,,,"['June 24, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['July 17, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING OC WHITE'],,,,,,,,,,,0 reviews
,,,,,,,,"['August 27, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['June 04, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1680 MHz'],['ZOTAC'],['1920'],,['NVIDIA'],,,,"['July 20, 2020']",,['3 x DisplayPort 1.4'],,,,,,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['7680 x 4320'],,,,['ZT-T20600H-10M'],['4'],,,,,,,,,,,['Recommended Power Supply: 500W'],,,0 reviews
['N/A'],['GIGABYTE'],,,,['Double Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['WINDFORCE OC'],,,,,,,,,,,0 reviews
,['ASUS'],,,,,,,"['June 24, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['June 13, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['PNY'],,,,,,,"['January 29, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1710 MHz'],['MSI'],,,['NVIDIA'],,['1920'],,"['April 03, 2020']",,,,,['14 Gbps'],,,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,,['PCI Express 3.0 x16'],,,['192-Bit'],['6GB'],['GDDR6'],['GeForce RTX 2060 VENTUS XS 6G OC'],,,,,,,,,,['VENTUS'],,,,,"2,604 (75% Positive)"
,['PNY'],,,['NVIDIA'],['With Fan'],,,"['June 24, 2020']",,['3'],,,,['DisplayPort:Yes'],['Plug-in Card'],['RTX 2060'],,,,,,,['192-Bit'],['6 GB'],['GDDR6'],,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['August 18, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['ASUS'],,,,,,,"['June 21, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1680 MHz'],['EVGA'],['1920'],,['NVIDIA'],['Single Fan'],,['1 x Dual-Link DVI-D'],"['February 01, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA Ansel  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2061-KR'],['3'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,['8-Pin'],,['No'],,,"['Total Power Draw: 160 Watts. 500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['190W'],['Yes'],0 reviews
,['eVGA'],,,,,,,"['April 27, 2020']",,,,,,,,,,,,,,,,['6GB'],,['06G-P4-2068-KR'],,,,,,,,,,,,,,,0 reviews
['OC Mode: 1785 MHzGaming Mode (Default): 1755 MHz'],['ASUS'],['1920'],"['9.53"" x 5.12""']",['NVIDIA'],['Double Fans'],['OC Mode: 1395 MHzGaming Mode (Default): 1365 MHz'],['1 x DVI-D'],"['June 24, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA TURING GPU architecture and the all-new RTX platform provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12 enables new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech Fan Design brings larger blades and a unique barrier ring to increase air pressure.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0 x16'],['242 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['DUAL-RTX2060-O6G-EVO'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x CD1 x Quick Guide'],['1 x 8-pin'],,['No'],['Dual'],['2.5-slot'],['Recommended PSU: 500W'],['190W'],['Yes'],964 (77% Positive)
['1.71 GHz'],['ASUS'],,,['NVIDIA'],,['1.40 GHz'],['Yes'],"['August 05, 2019']",['OpenGL 4.5'],['Yes'],,,['1.40 GHz'],,['Plug-in Card'],['RTX 2060'],,,['Yes'],,,,['192-Bit'],['6GB'],['GDDR6'],,,['OpenGL 4.5'],,['PH-RTX2060-6G'],,,,['1.40 GHz'],,['RTX'],,,,,0 reviews
['1830 MHz'],['PNY'],['1920'],"['9.25"" x 4.50""']",['NVIDIA'],['Double Fans'],['1365 MHz'],['1 x DVI-D'],"['November 27, 2019']",,['1 x DisplayPort 1.4'],,,['14 Gbps'],"[""NVIDIA Turing architecture, with 1365 MHz core clock and 1830 MHz boost clock speeds to help meet the needs of demanding games.6GB GDDR6 (192-bit) on-board memory, plus 1920 CUDA processing cores and up to 336 GB/sec of memory bandwidth provide the memory needed to create striking visual realism.PCI Express 3.0 interface - Offers compatibility with a range of systems. Also includes DVI-D, HDMI and DisplayPort outputs for expanded connectivity.Real-Time Ray Tracing - Definitive solution for lifelike lighting, reflections, and shadows, offering a high level of realism.NVIDIA GeForce Experience - Capture and share videos, screenshots, and livestreams with friends. Keep your drivers up to date and optimize your game settings. It's the essential companion to your GeForce graphics card.""]",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['235 mm'],,['192-Bit'],['6GB'],['GDDR6'],['VCG20606DFPPB-O'],['3'],,,,,,['8-Pin'],,,,['Dual Slot'],,['190W'],,0 reviews
['1755 MHz'],['EVGA'],['1920'],"['7.48"" x 4.38""']",['NVIDIA'],['Single Fan'],,['1 x Dual-Link DVI-D'],"['April 30, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA Ansel  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['190 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2063-KR'],['3'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,['8-Pin'],,['No'],,['2.75 Slot'],"['Total Power Draw: 160 Watts. 500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['190W'],['Yes'],0 reviews
,,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1695 MHz'],['EVGA'],['2176'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 13, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2060 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3163-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],,['No'],,['2.75 Slot'],"['550W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['175W'],['Yes'],(25)
,['GIGABYTE'],['2176'],"['10.43"" x 4.76""']",['NVIDIA'],['WINDFORCE 2X'],['1680 MHz'],,"['February 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection Back Plate'],['ATX'],['GeForce RTX 2060 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['265 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N206SWF2OC-8GD'],['4'],['OpenGL 4.6'],,,,,['8-Pin'],,['No'],,['Dual Slot'],['System PSU Limitation: 550W'],['175W'],['Yes'],0 reviews
['1680 MHz'],['EVGA'],['2176'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,['1 x DL-DVI-D'],"['June 28, 2019']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA AnselAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversNVIDIA GPU BoostBuilt for EVGA Precision X1']",,['GeForce RTX 2060 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3067-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,['One available 8-pin PCIe power dongle'],,['No'],,['Dual Slot'],"['550W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['175W'],['Yes'],(100)
['1770 MHz'],['GIGABYTE'],['1920'],"['10.43"" x 4.75""']",['NVIDIA'],['WINDFORCE 2X'],,,"['October 06, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection back plate'],['ATX'],['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['265 mm'],['7680 x 4320 @ 60 Hz'],['192-Bit'],['6GB'],['GDDR6'],['GV-N2060WF2OC-6GD R2'],['4'],['OpenGL 4.6'],,,,,['8-Pin'],,['No'],,['Dual Slot'],['Recommended PSU: 500W'],['160W'],['Yes'],0 reviews
['1695 MHz'],['GIGABYTE'],['1920'],"['6.69"" x 4.78""']",['NVIDIA'],['Single Fan'],,,"['October 16, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interface90mm unique blade fan170mm compact card size'],['ITX'],['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['170 mm'],['7680 x 4320 @ 60 Hz'],['192-Bit'],['6GB'],['GDDR6'],['GV-N2060IXOC-6GD rev. 2.0'],['4'],['OpenGL 4.6'],,,,,['8-Pin'],,['No'],,['Dual Slot'],['System PSU Limitation (W): 500'],['110W'],['Yes'],0 reviews
['1830 MHz'],['MSI'],['1920'],"['9.72"" x 5.08""']",['NVIDIA'],['Double Fans'],,,"['June 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Core/MemoryBoost Clock / Memory Speed1830 MHz / 14 Gbps6GB GDDR6DisplayPort x 3 / HDMI x 1Twin Frozr 7 Thermal DesignTORX Fan 3.0 - Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon Center1 click to optimize all you need for smooth gaming.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['247 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['RTX 2060 GAMING Z 6G'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,,,,['Recommended PSU: 500W'],['190W'],['Yes'],0 reviews
,,,,,,,,"['June 23, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
