Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
NONE,1920,NVIDIA,Double Fans,1 x DVI,22-Oct-20,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,NONE,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1506.0,8008.0,0.0,299.99,Gigabyte GeForce GTX 1070 AORUS 8 GB GDDR5 Graphics Card (GV-N1070AORUS-8GD),
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,18-Dec-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6171-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1683.0,1506.0,8008.0,0.0,619.0,"EVGA GeForce GTX 1070 GAMING ACX 3.0, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6171-KR",
EVGA,2432,NVIDIA,Double Fans,1 x Dual-Link DVI-D,13-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6678-KR,OpenGL 4.6,SLI Ready,Triple Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,695.0,"EVGA GeForce GTX 1070 Ti FTW ULTRA SILENT GAMING, 8GB GDDR5, ACX 3.0 & RGB LED Graphics Card 08G-P4-6678-KR",
ASUS,1920,NVIDIA,Double Fans,1 x DVI,9-Nov-18,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2 x HDMI,128.524,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,90YV09N0-M0NA00,OpenGL 4.5,SLI Ready,Triple Slot,GTX 1070,1860.0,1657.0,8008.0,0.0,620.0,"ASUS GeForce GTX 1070 8GB Strix OC Gaming, 90YV09N0-M0NA00",
EVGA,2432,NVIDIA,Double Fans,1 x DVI,11-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6678-KR,OpenGL 4.6,SLI Ready,Triple Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,685.0,"EVGA GeForce GTX 1070 Ti FTW ULTRA SILENT GAMING, 8GB GDDR5, ACX 3.0 & RGB LED Graphics Card 08G-P4-6678-KR",
PNY,1920,NVIDIA,Single Fan,1 x DL-DVI-D,9-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,125.984,PCI Express 3.0 x16,279.908,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX10708PB,OpenGL 4.5,SLI HB Bridge Supported,Dual Slot,GTX 1070,1683.0,1506.0,8.0,0.0,610.0,PNY GeForce GTX 1070 DirectX 12 VCGGTX10708PB 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,
EVGA,1920,NVIDIA,With Fan,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6274-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1506.0,8008.0,0.0,625.0,"EVGA GeForce GTX 1070 FTW DT GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6274-KR Video Graphics Card",
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6173-KR,OpenGL 4.5,3-Way SLI,Dual Slot,GTX 1070,0.0,1594.0,8008.0,0.0,620.0,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 8GB, 08G-P4-6173-KR, GDDR5, LED, DX12 OSD Support (PXOC) Video Graphics Card",
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.778,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6676-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1607.0,8008.0,0.0,625.0,"EVGA GeForce GTX 1070 FTW2 GAMING iCX, 08G-P4-6676-KR, 8GB GDDR5, RGB LED, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design Video Graphics Card",
EVGA,2432,NVIDIA,Double Fans,1 x DL-DVI-D,25-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5671-KR,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,685.0,EVGA GeForce GTX 1070 Ti SC GAMING 8GB 08G-P4-5671-KR GDDR5 ACX 3.0 & Black Edition Video Graphics Card,
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,7-Aug-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6276-KR,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1070,1797.0,1607.0,8008.0,0.0,625.0,"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6276-KR",
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,27-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.778,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6676-KR,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1070,1797.0,1607.0,8008.0,0.0,629.0,"EVGA GeForce GTX 1070 FTW2 Gaming, 8GB GDDR5, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, Asynch Fan, Optimized Airflow Design Graphics Card 08G-P4-6676-KR",
NVIDIA,1920,NVIDIA,Single Fan,1 x DVI,5-Jan-19,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI,128.778,PCI Express 3.0,266.7,3840 x 2160,256-Bit,8GB,GDDR5,GTX 1070,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1070,1677.0,1506.0,8008.0,0.0,307.99,"NVIDIA GeForce GTX 1070 8GB GDDR5 Micron Memory Graphics Card, PCI Express 3.0, DirectX 12, OpenGL 4.5, 1683 MHz - OEM",4.0
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,11-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6276-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1797.0,1607.0,8008.0,20.0,499.0,"EVGA GeForce GTX 1070 08G-P4-6276-RX FTW GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Graphics Card",5.0
ASUS,1920,NVIDIA,Triple Fans,1 x DVI-D,7-Oct-20,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,STRIX-GTX1070TI-8G-GAMING,OpenGL 4.5,2-Way SLI,2.5-slot,GTX 1070,1721.0,1607.0,8008.0,0.0,389.99,ASUS ROG GeForce GTX 1070 Ti STRIX-GTX1070TI-8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,2.0
ASUS,1920,NVIDIA,Triple Fans,1 x DVI-D,6-Nov-18,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,Geforce Gtx 1070,OpenGL 4.5,2-Way SLI,2.5-slot,GTX 1070,0.0,1607.0,8008.0,0.0,410.0,ASUS GeForce GTX 1070 Geforce Gtx 1070 Video Card,
MSI,1920,NVIDIA,Double Fans,1 x DVI-D,10-Aug-20,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 GAMING X 8GB,OpenGL 4.5,2-Way SLI,2.5-slot,GTX 1070,0.0,1607.0,8008.0,0.0,445.0,MSI GeForce GTX 1070 GAMING X 8GB Graphics Card DirectX12 & VR Ready 4K GPU,
EVGA,1920,NVIDIA,Double Fans,1 x DVI,30-Jun-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5173-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1784.0,1594.0,8008.0,0.0,448.0,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",
EVGA,1920,NVIDIA,ACX 3.0,1 x DVI-D,29-Apr-20,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6171-KR,OpenGL 4.5,NVIDIA SLI w/ HB Bridge Support,Dual Slot,GTX 1070,1683.0,1506.0,8008.0,0.0,399.0,EVGA GeForce GTX 1070 DirectX 12 08G-P4-6171-KR 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support Gaming ACX 3.0 Video Card,
EVGA,1920,NVIDIA,Hybrid Cooler,1 x DVI,3-Aug-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,DDR5,08G-P4-6278-KR,OpenGL 4.6,NVIDIA SLI w/ HB Bridge Support,Dual Slot,GTX 1070,1797.0,1607.0,8008.0,0.0,599.0,"EVGA GeForce GTX 1070 FTW HYBRID GAMING, 08G-P4-6278-KR, 8GB GDDR5, RGB LED, All-In-One Watercooling with 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)",
ASUS,1920,NVIDIA,Single Fan,1 x DVI,17-Oct-19,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0b,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,TURBO-GTX1070-8G,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1683.0,1506.0,8008.0,0.0,449.0,ASUS Turbo GeForce GTX 1070 TURBO-GTX1070-8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,
ZOTAC,1920,NVIDIA,Double Fans,1 x DL-DVI-D,13-Jul-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,121.92,PCI Express 3.0,210.058,7680 x 4320,256-Bit,8GB,GDDR5,ZT-P10700G-10M,OpenGL 4.5,"Yes, SLI HB Bridge Supported",Dual Slot,GTX 1070,1708.0,1518.0,8000.0,0.0,449.0,"ZOTAC GeForce GTX 1070 Mini, ZT-P10700G-10M, 8GB GDDR5",
ZOTAC,1920,NVIDIA,Single Fan,1 x DL-DVI-D,6-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,121.92,PCI Express x16,210.058,7680 x 4320,256-Bit,8GB,GDDR5,NONE,OpenGL 4.5,"Yes, SLI HB Bridge Supported",Dual Slot,GTX 1070,0.0,1518.0,8000.0,0.0,319.0,Fully Tested and working normally with light cosmetic wear. Pulled from a Dell or Lenovo Desktop PC  (EX Dell XPS or Lenovo Y900 Gaming Desktop)  Requires 450W Power Supply and 1 8 Pin PCI Connector,
