Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,2560,NVIDIA,Double Fans,1 x DL-DVI-D,7/25/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3071-KR,OpenGL 4.5,2-Way SLI,Dual Slot,RTX 2070,1770,1635,14000.0,143.0,534.99,"EVGA GeForce RTX 2070 SUPER BLACK GAMING, 08G-P4-3071-KR, 8GB GDDR6",4.0
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,257.048,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 SUPER VENTUS OC,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",Dual Slot,RTX 2070,1785,1635,14.0,16.0,844.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,4.0
GIGABYTE,2560,NVIDIA,WINDFORCE 3X,1 x DL-DVI-D,10/9/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.554,PCI Express 3.0 x16,286.512,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMING OC-8GC,OpenGL 4.5,2-way NVIDIA NVLINK,2.5 slot,RTX 2070,0,1815,14000.0,36.0,719.99,"GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GC Video Card",4.0
PNY,2560,NVIDIA,With Fan,1 x DL-DVI-D,7/6/2020,DirectX 12OpenGL 4.5Vulkan,3,Yes,RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI,114.554,PCI Express 3.0 x16,286.512,7680 x 4320 @ 60 Hz,256-Bit,8 GB,GDDR6,NONE,DirectX 12OpenGL 4.5Vulkan,2-way NVIDIA NVLINK,2.5 slot,RTX 2070,0,1815,14000.0,1.0,857.06,PNY GeForce RTX 2070 SUPER Graphic Card - 8 GB GDDR6,2.0
EVGA,2560,NVIDIA,Double Fans,1 x DL-DVI-D,5/7/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3173-RX,OpenGL 4.6,SLI Ready,2.75 Slot,RTX 2070,1800,1815,14000.0,9.0,499.99,"EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 08G-P4-3173-RX, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",5.0
ASUS,2560,NVIDIA,Triple Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.30200000000002,PCI Express 3.0,299.72,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070S-8G-GAMING,OpenGL 4.6,SLI Ready,2.7 slot,RTX 2070,1800,1635,14000.0,883.0,749.99,ASUS ROG STRIX GeForce RTX 2070 SUPER DirectX 12 ROG-STRIX-RTX2070S-8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,4.0
ASUS,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/7/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,118.11,PCI Express 3.0,266.954,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-EVO,OpenGL 4.5,No,2.7 slots,RTX 2070,1740,1410,14000.0,883.0,685,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,5.0
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,1/22/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,154.94,PCI Express 3.0 x16,307.086,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 GAMING Z 8G,OpenGL 4.5,No,2.7 slots,RTX 2070,1830,1410,14.0,0.0,"1,299.99",MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING Z 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,1/7/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,143.002,PCI Express 3.0 x16,296.926,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",2.7 slots,RTX 2070,1800,1410,14.0,0.0,"1,099.99",MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,3/10/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,143.002,PCI Express 3.0 x16,296.926,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Super GAMING X,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",2.7 slots,RTX 2070,1800,1410,14.0,0.0,999.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
