,brand,model,product_name,price,rating,shipping,url
71,ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,844.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004V9?Description=rtx
72,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,926.90 –",,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/1FT-000A-000V7?Description=rtx
73,EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –",,Free Shipping,https://www.newegg.com/p/231-00BC-000N5?Description=rtx
74,GIGABYTE,RTX 2080,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,718.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C8?Description=rtx
75,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card","$1,047.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C1?Description=rtx
76,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WATERFORCE WB 8G Graphics Card, Water Block Cooling System, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WB-8GD Video Card","$1,358.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C2?Description=rtx
77,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMING-8GC Ver 2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,131.90 (2 Offers)–",,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208sgaming-8gc-ver-2-0/p/N82E16814932324?Description=rtx
78,GIGABYTE,RTX 2080,GIGABYTE  GEFORCE RTX 2080  GAMING OC,"$1,150.00 –",,Free Shipping,https://www.newegg.com/p/1FT-000A-000S4?Description=rtx
79,GIGABYTE,RTX 2080,"GIGABYTE AORUS GeForce RTX 2080 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N208SAORUS-8GC Video Card","$1,164.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001B8?Description=rtx
80,GIGABYTE,RTX 2080,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,203.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001B7?Description=rtx
81,ASUS,RTX 2080,Asus Turbo GeForce RTX 2080 Graphic Card 8GB GDDR6 Type-C Video Card,"$1,099.00 –",,Free Shipping,https://www.newegg.com/p/1FT-000Y-00283?Description=rtx
82,GIGABYTE,RTX 2080,GIGABYTE AORUS RTX 2080 TI 11GB DirectX 12 GV-N208TAORUSX W-11GC Video Card,"$1,850.00 (2 Offers)–",,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorusx-w-11gc/p/1FT-000A-000W4?Description=rtx
83,ASUS,RTX 2080,ASUS GeForce RTX 2080 SUPER ROG Strix Gaming 8 GB GDDR6 Graphics Card (ROG-STRIX-RTX2080S-O8G-GAMING),"$1,299.99 –",,$135.00 Shipping,https://www.newegg.com/p/1FT-000Y-004A7?Description=rtx
