,brand,model,product_name,rating,shipping,url
41,EVGA,GTX 1060,"EVGA GeForce GTX 1060 3GB SC ACX 2.0 (Single Fan), 3GB GDDR5,, 03G-P4-6162-KR",,Free Shipping,https://www.newegg.com/p/30U-004K-00044?Description=GTX
42,ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 AMP Edition, ZT-P10600B-10M, 6GB GDDR5 VR Ready S... New",,Free Shipping,https://www.newegg.com/p/30U-005Z-00006?Description=GTX
43,EVGA,GTX 1060,EVGA GeForce GTX 1060 SC GAMING 6GB 06G-P4-6163-KR,,Free Shipping,https://www.newegg.com/evga-06g-p4-6163-kr/p/1FT-001K-002A4?Description=GTX
44,EVGA,GTX 1060,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan) 6GB, 06G-P4-6163-KR, GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches Video Graphics Card",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6163-kr/p/1FT-001K-002M2?Description=GTX
45,Corn,GTX 1060,"CORN GTX 1060 192-Bit 3GB GDDR5 Graphic Card with dual fans DirectX12 Video Card GPU PCI Express 3.0 DP/DVI-D/HDMI,Play for LOL,PUBG,OW,War Thunder etc.",,Free Shipping,https://www.newegg.com/p/1FT-0040-00019?Description=GTX
46,EVGA,GTX 1060,EVGA GeForce GTX 1060 DirectX 12 03G-P4-5160-KR 3GB 192-Bit GDDR5 PCI Express 3.0 Video Card,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-5160-kr/p/1YU-00UH-00001?Description=GTX
47,DELL,GTX 1060,Dell GeForce GTX 1060 CD6TT DirectX 12 3GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card - OEM,,$12.00 Shipping,https://www.newegg.com/dell-geforce-gtx-1060-cd6tt/p/1FT-0001-000Z6?Description=GTX
48,MSI,GTX 1060,MSI GeForce GTX 1060 6GB DirectX 12 GTX 1060 6GT OCV1 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Graphics Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-ocv1/p/1FT-0009-000Z1?Description=GTX
49,MSI,GTX 1060,MSI GAMING GeForce GTX 1060 6GB GDRR5 192-bit HDCP Support DirectX 12 Single Fan VR Ready OC Graphics Card (GTX 1060 6G OCV1),,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6g-ocv1/p/1FT-0009-001K3?Description=GTX
50,MSI,GTX 1060,MSI Geforce GTX 1060 6GB OC GDDR5 GeForce GTX 1060 6G OCV1 Video Card GPU,,Free Shipping,https://www.newegg.com/p/1FT-0009-002P9?Description=GTX
51,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GeForce GTX 1060 GAMING 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gaming-6g/p/N82E16814137018?Description=GTX
52,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 3GT OC 3GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-3gt-oc/p/N82E16814137037?Description=GTX
53,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 ARMOR 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-armor-6g-oc/p/N82E16814127964?Description=GTX
54,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 ARMOR 6G OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-armor-6g-ocv1/p/N82E16814137040?Description=GTX
55,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 AERO ITX 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-aero-itx-6g-oc/p/N82E16814137094?Description=GTX
56,MSI,GTX 1060,MSI GeForce GTX 1060 6GT OC GDDR5 6GB Dual Fan OC,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-oc/p/N82E16814127965?Description=GTX
57,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6G OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6g-ocv1/p/N82E16814137095?Description=GTX
58,PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606PB 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,4,Free Shipping,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10606pb/p/N82E16814133631?Description=GTX
59,MSI,GTX 1060,MSI GTX 1060 3GT OC GeForce GTX 1060 Graphic Card - 1.54 GHz Core - 1.76 GHz Boost Clock - 3 GB GDDR5,,Free Shipping,https://www.newegg.com/p/1FT-0009-00142?Description=GTX
60,MSI,GTX 1060,MSI GeForce GTX 1060 6GB DirectX 12 GTX 1060 ARMOR 6G OCV1 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Graphics Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-armor-6g-ocv1/p/1FT-0009-000Z6?Description=GTX
61,PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,4,Free Shipping,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10606xgpb-oc/p/N82E16814133638?Description=GTX
62,PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 VCGGTX10603PB 3GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,4,Free Shipping,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10603pb/p/N82E16814133634?Description=GTX
63,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 AERO ITX 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-aero-itx-6g-oc/p/1FT-0009-001E7?Description=GTX
64,MSI,GTX 1060,MSI Computer GeForce GTX 1060 VR Ready GDDR5 Graphics Card (GeForce GTX 1060 ARM,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-armor-6g-oc/p/1FT-0009-001K7?Description=GTX
65,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GeForce GTX 1060 GAMING 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gaming-6g/p/1FT-0009-001N9?Description=GTX
66,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-gaming-x-6g/p/1FT-0009-001D7?Description=GTX
67,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6GT OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-ocv1/p/1FT-0009-001N3?Description=GTX
68,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-gaming-x-6g/p/1FT-0009-001M7?Description=GTX
69,EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING 6GB, ACX 2.0 (Single Fan), 06G-P4-6161-KR, GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches Video Graphics Card",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6161-kr/p/1FT-001K-002S3?Description=GTX
70,EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, 3GB GDDR5, ACX 2.0 (Single Fan), 03G-P4-6160-KR",,Free Shipping,https://www.newegg.com/p/30U-004K-00011?Description=GTX
71,ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 AMP Edition, ZT-P10600B-10M, 6GB GDDR5 PCI Express 3.0 Dual-link DVI, Display Port, HDMI IceStorm Cooling, Metal Wraparound Carbon ExoArmor exterior Graphics Card",,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600b-10m/p/1FT-000M-00141?Description=GTX
72,EVGA,GTX 1060,EVGA GeForce GTX 1060 DirectX 12 03G-P4-6367-KR 3GB 192-Bit GDDR5 PCI Express 3.0 x16 FTW+ Gaming ACX 3.0 Video Card,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6367-kr/p/N82E16814487311?Description=GTX
73,EVGA,GTX 1060,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 6GB GDDR5, DX12 OS... New",,Free Shipping,https://www.newegg.com/p/30U-004K-00026?Description=GTX
74,GIGABYTE,GTX 1060,Gigabyte GTX 1060 G1 Gaming 3GB GDDR5 Graphics Card (GV-N1060G1 GAMING-3GD  V2),,Free Shipping,https://www.newegg.com/p/1FT-000A-000M3?Description=GTX
75,MSI,GTX 1060,MSI Armor OC GeForce GTX 1060 6GB GDDR5 PCI-E x16 3.0 Graphics Card,,Free Shipping,https://www.newegg.com/p/1FT-0009-000H5?Description=GTX
76,EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 06G-P4-6161-KR, 6GB GDDR5, D",,Free Shipping,https://www.newegg.com/p/30U-004K-00015?Description=GTX
77,PNY,GTX 1060,PNY GeForce GTX 1060 6GB Graphics Card VCGGTX10606PB,,Free Shipping,https://www.newegg.com/pny-vcggtx10606pb/p/1FT-000P-00163?Description=GTX
