brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
MSI,GTX 1080,MSI GeForce GTX 1080 Ti DirectX 12 GeForce GTX 1080 Ti GAMING X 11G 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,029.00 (1 Offers)–",5.0,,https://www.newegg.com/msi-geforce-gtx-1080-ti-gaming-x-11g/p/N82E16814137113?Description=GTX,NONE,1683 MHz (OC Mode)1657 MHz (Gaming Mode)1582 MHz (Silent Mode),MSI,3584,"11.42"" x 5.51""",NVIDIA,Double Fans,1569 MHz (OC Mode)1544 MHz (Gaming Mode)1480 MHz (Silent Mode),1 x DL-DVI-D,28-Nov-18,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,11124 MHz (OC Mode)11016 MHz (Gaming / Silent ),"The Ultimate GAMING: TWIN FROZR VI- Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.- Airflow Control: Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming.TORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.Gaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click.- LED control: Full control on your RGB GAMING LEDs to set the mood.2.5-Slot Width",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0 x16,NONE,290 mm,NONE,352-Bit,11GB,GDDR5X,GeForce GTX 1080 Ti GAMING X 11G,2,OpenGL 4.5,NONE,NONE,NONE,2 x 8-Pin,NONE,2-Way SLI,NONE,NONE,2.5-Slot,NONE,Power consumption: 250WRecommended PSU: 600W,250W,Yes,-96,290.068,139.954
MSI,GTX 1080,MSI GeForce GTX 1080 Ti DirectX 12 GTX 1080 Ti AERO 11G OC 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,029.00 –",5.0,,https://www.newegg.com/msi-geforce-gtx-1080-ti-gtx-1080-ti-aero-11g-oc/p/N82E16814137115?Description=GTX,NONE,1620 MHz,MSI,3584,"10.59"" x 4.37""",NVIDIA,Single Fan,1506 MHz,NONE,16-Nov-18,DirectX 12,3 x DisplayPort,NONE,NONE,11016 MHz,"""All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIAs unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,269 mm,NONE,352-Bit,11GB,GDDR5X,GTX 1080 Ti AERO 11G OC,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,Power consumption: 250WRecommended PSU: 600W,250W,Yes,-9,268.986,110.99799999999999
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 HYBRID GAMING, 11G-P4-6698-KR, 11GB GDDR5X, HYBRID & RGB LED, iCX Technology - 9 Thermal Sensors","$1,080.00 (1 Offers)–",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6698-kr/p/N82E16814487377?Description=GTX,NONE,1683 MHz,EVGA,3584,"11.37"" x 5.06""",NVIDIA,Hybrid Cooler,1569 MHz,1 x Dual-Link DVI,24-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"EVGA GeForce GTX 1080 Ti FTW3 HYBRID, an ""all in one"" water cooling solution that significantly lowers the GPU and VRAM operating temperatures. Best of all? The water cooler is completely self contained, with an included 120mm radiator and fan, no filling, no custom tubing, and no maintenance. Just plug and play!iCX Technology - Peace of Mind Gaming - 9 additional temp sensors to monitor memory and PWN - Full monitoring and control with EVGA Precision XOC - Safety fuse to protect components from damage due to improper installation or other component failures - Hybrid ""All-in-One"" Watercooler - Customizable RGB LED - Dedicated Memory Plate that makes DIRECT contact with the water cooling block. Giving the lowest memory temperatures possible.",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,289 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6698-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64 bit",NONE,NONE,2 x 8-pin or 6+2-pin PCI-E connectors,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600W or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot",250W,Yes,-61,288.798,128.524
ASUS,GTX 1080,ASUS GeForce GTX 1080 TURBO-GTX1080-8G 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/asus-geforce-gtx-1080-turbo-gtx1080-8g/p/N82E16814126110?Description=GTX,NONE,1733 MHz,ASUS,2560,"10.50"" x 4.37""",NVIDIA,Single Fan,1607 MHz,1 x DVI-D,25-Jan-19,NONE,2 x DisplayPort 1.4,NONE,NONE,10010 MHz,"ASUS Turbo GeForce GTX 1080 graphics deliver the sweet spot of performance- Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-friendly HDMI Ports for immersive virtual reality experiences.- Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,266.7mm,7680 x 4320,256-Bit,8GB,GDDR5X,TURBO-GTX1080-8G,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Power Consumption: up to 225W,180W,Yes,-32,266.7,110.99799999999999
GIGABYTE,GTX 1080,"GIGABYTE AORUS Xtreme GeForce GTX 1080 Ti Waterforce WB 11GD, GV-N108TAORUSX WB-11GD",,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1080-ti-gv-n108taorusx-wb-11gd/p/N82E16814125988?Description=GTX,NONE,1746 MHz (OC Mode)1721 MHz (Gaming Mode),GIGABYTE,NONE,"10.50"" x 5.88""",NVIDIA,WATERFORCE,1632 MHz (OC Mode)1607 MHz (Gaming Mode),1 x Dual-Link DVI-D (Thin),21-Jul-20,DirectX 12,3 x DisplayPort,Yes,NONE,11448 MHz (OC Mode)11232 MHz (Gaming Mode),NONE,ATX,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,3 x HDMI,PCI Express 3.0 x16,NONE,267 mm,NONE,352-Bit,11GB,GDDR5X,GV-N108TAORUSX WB-11GD,4,OpenGL 4.5,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,AORUS,NONE,Dual Slot,3584 Stream Processors,System PSU Limitation: 600W,250W,Yes,-34,266.7,149.352
GIGABYTE,GTX 1080,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMINGOC BLACK-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 ATX Video Card,"$1,029.00 (1 Offers)–",4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1080-ti-gv-n108tgamingoc-black-11gd/p/N82E16814125997?Description=GTX,NONE,1657 MHz in OC mode 1632 MHz in Gaming mode,GIGABYTE,3584,"11.02"" x 4.49""",NVIDIA,Triple Fans,1544 MHz in OC mode 1518 MHz in Gaming mode,1 x Dual-Link DVI-D (thin),7-Dec-18,DirectX 12,3 x DisplayPort 1.4 (Gold Plated),Yes,NONE,11010 MHz,Powered by GeForce GTX 1080 TiIntegrated with 11GB GDDR5X 352-bit memory interfaceWINDFORCE 3X Cooling SystemRGB fusion - 16.8M customizable color lightingBuilt for Extreme Overclocking 8+2 Power Phases,ATX,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b (Gold Plated),PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,352-Bit,11GB,GDDR5X,GV-N108TGAMINGOC BLACK-11GD,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,NONE,NONE,Dual Slot,NONE,Recommended PSU: 600W,250W,Yes,-9,279.908,114.046
ASUS,GTX 1080,ASUS GeForce GTX 1080 FE DirectX 12 GTX1080-8G 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card Founders Edition,,5.0,,https://www.newegg.com/asus-geforce-gtx-1080-fe-gtx1080-8g/p/N82E16814126101?Description=GTX,NONE,1733 MHz,ASUS,2560,"10.50"" x 4.38""",NVIDIA,Blower,1607 MHz,1 x Dual-link DVI-D,21-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"ASUS GeForce GTX 1080 Founders Edition delivers the most advanced gaming experience- NVIDIA GeForce GTX 1080: Get up to 3X the performance and power efficiency of previous-generation GPUs.- Next-generation NVIDIA VRWorks Technologies: For low latency, plug-and-play compatibility, and immersive performance.- NVIDIA GameWorks: Provide an interactive and cinematic experience, as well as incredibly smooth gameplay.- Experience the fastest, smoothest, most power-efficient gaming experiences with ultra-fast FinFET and high-bandwidth GDDR5X technologies, plus support for DirectX 12 features.- ASUS GPU Tweak II with XSplit Gamecaster: Intuitive performance tweaking and instant gameplay streaming.",NONE,GeForce GTX 1080 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,GTX1080-8G,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Power Consumption: up to 225W,NONE,Yes,671 (86% Positive),266.7,111.25200000000001
ASUS,GTX 1080,ASUS ROG GeForce GTX 1080 DirectX 12 STRIX-GTX1080-O8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,$835.00 (1 Offers)–,4.0,,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-o8g-gaming/p/N82E16814126103?Description=GTX,NONE,1936 MHz (OC Mode)1898 MHz (Gaming Mode),ASUS,2560,"11.73"" x 5.28""",NVIDIA,Triple Fans,1784 MHz (OC Mode)1759 MHz (Gaming Mode),1 x DVI-D,9-Nov-18,DirectX 12,2 x DisplayPort,Yes,NONE,10000 MHz,"ASUS ROG Strix GeForce GTX 1080 outshines the competition- 1936 MHz engine clock for outstanding performance and gaming experience.- DirectCU III with Patented Wing-Blade Fans delivers 30% cooler and 3X quieter performance.- ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- Aura RGB Lighting with Modular Shroud to express personalized gaming style.- VR-friendly HDMI ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5X,STRIX-GTX1080-O8G-GAMING,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,2-Way SLI,ROG,NONE,Dual Slot,NONE,"Power Consumption: up to 300W, additional 6+8 pin PCIe power required",180W,Yes,-84,297.942,134.112
EVGA,GTX 1080,"EVGA GeForce GTX 1080 FTW Hydro Copper GAMING, 08G-P4-6299-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)",$849.00 –,4.0,,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6299-kr/p/N82E16814487285?Description=GTX,NONE,1860 MHz,EVGA,2560,"10.50"" x 5.06""",NVIDIA,Hybrid Cooler,1721 MHz,1 x Dual-Link DVI-D,17-May-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LED",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,NONE,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6299-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,Two available 8-pin or 6+2pin PCI-E power dongles,NONE,NONE,NONE,NONE,Dual Slot,NONE,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",180W,Yes,-7,266.7,128.524
EVGA,GTX 1080,"EVGA GeForce GTX 1080 SC2 GAMING iCX, 08G-P4-6583-KR, 8GB GDDR5X, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design, Die Cast/Form Fitted Baseplate",$799.00 –,5.0,,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6583-kr/p/N82E16814487318?Description=GTX,NONE,1847 MHz,EVGA,2560,"10.50"" x 4.38""",NVIDIA,iCX,1708 MHz,1 x DualLink DVI-D,4-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10010 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous FansGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6583-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Minimum of a 500W power supplyOne available 8-pin PCI-E power dongleTotal Power Draw: 180W,180W,Yes,-34,266.7,111.25200000000001
EVGA,GTX 1080,"EVGA GeForce GTX 1080 FTW2 GAMING iCX, 08G-P4-6686-KR, 8GB GDDR5X, RGB LED, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design, Die Cast/Form Fitted",$849.00 (1 Offers)–,5.0,,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6686-kr/p/N82E16814487319?Description=GTX,NONE,1860 MHz,EVGA,2560,"10.50"" x 5.07""",NVIDIA,iCX,1721 MHz,1 x Dual-Link DVI-D,16-May-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10010 MHz,"EVGA Double BIOSSimultaneous MultiProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA GSYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportHDMI 2.0b, DisplayPort 1.4 and DualLink DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LEDAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with Lshaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6686-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Minimum of a 500W power supplyTotal Power Draw: 215 Watts,180W,Yes,-65,266.7,128.778
EVGA,GTX 1080,"EVGA GeForce GTX 1080 08G-P4-6180-RX Founders Edition, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card",$489.00 (2 Offers)–,5.0,9.99,https://www.newegg.com/evga-geforce-gtx-1080-fe-08g-p4-6180-rx/p/N82E16814487322?Description=GTX,NONE,1733 MHz,EVGA,2560,"10.50"" x 4.38""",NVIDIA,Single Fan,1607 MHz,1 x Dual-Link DVI-D,13-Feb-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI-DBuilt for EVGA PrecisionX OC",NONE,GeForce GTX 1080 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6180-RX,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",NONE,Yes,291 (90% Positive),266.7,111.25200000000001
MSI,GTX 1080,MSI GeForce GTX 1080 FE DirectX 12 GEFORCE GTX 1080 Founders Edition 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$799.00 –,5.0,,https://www.newegg.com/msi-geforce-gtx-1080-fe-geforce-gtx-1080-founders-edition/p/N82E16814127940?Description=GTX,NONE,1733 MHz,MSI,2560,"10.50"" x 4.38""",NVIDIA,Blower,1607 MHz,1 x Dual-link DVI-D,6-Dec-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,All Solid Capacitors- 10 years ultra-long lifetime (under full load).- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.- Supports multi-GPU setups.,NONE,GeForce GTX 1080 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GEFORCE GTX 1080 Founders Edition,4,OpenGL 4.5,Windows 10 / 8 / 7 / Vista,NONE,NONE,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Power consumption: 180WRecommended PSU: 500W,NONE,Yes,-16,266.7,111.25200000000001
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti SC2 GAMING, 11G-P4-6593-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M","$1,029.00 (1 Offers)–",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6593-kr/p/N82E16814487337?Description=GTX,NONE,NONE,EVGA,3584,"10.50"" x 4.38""",NVIDIA,Double Fans,1556 MHz,1 x Dual-Link DVI-D,16-May-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11000 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6593-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1080 Ti SC2,NONE,1 x 8-Pin & 1 x 6-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,-82,266.7,111.25200000000001
ZOTAC,GTX 1080,ZOTAC GeForce GTX 1080 FE DirectX 12 ZT-P10800A-10P 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card VR Ready Founders Edition,$799.00 (1 Offers)–,5.0,,https://www.newegg.com/zotac-geforce-gtx-1080-fe-zt-p10800a-10p/p/N82E16814500396?Description=GTX,NONE,1733 MHz,ZOTAC,2560,"10.50"" x 4.38""",NVIDIA,Blower,1607 MHz,1 x Dual-link DVI-D,21-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"""NVIDIAs flagship GeForce GTX 1080 is the most advanced gaming GPU ever created, powered by the high-performance, energy-efficient new NVIDIA Pascal architecture. Pascal enables truly game-changing performance with captivating sights and sounds, as well as next-generation VR performance that offers the lowest latency and plug-and-play compatibility with leading headsets.""",NONE,GeForce GTX 1080 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,ZT-P10800A-10P,4,OpenGL 4.5,Windows 10 / 8 / 7,NONE,Accessories:Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Recommended Power Supply: 500WPower Consumption: 180W,NONE,Yes,-23,266.7,111.25200000000001
ZOTAC,GTX 1080,"ZOTAC GeForce GTX 1080 Mini, ZT-P10800H-10P, 8GB GDDR5X IceStorm Cooling, Dual Fans, 90mm Pressure Optimized Fan, 100mm Maximum Airflow Optimized Fan, Direct GPU Copper Block Contact, Metal Back Plate",$799.00 (1 Offers)–,4.0,,https://www.newegg.com/zotac-geforce-gtx-1080-zt-p10800h-10p/p/N82E16814500414?Description=GTX,NONE,1759 MHz,ZOTAC,2560,"8.31"" x 4.92""",NVIDIA,Double Fans,1620 MHz,1 x DL-DVI-D,4-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10 GHz,NVIDIA GameWorks technologyNVIDIA VRWorks technologyNVIDIA G-Sync readyNVIDIA Ansel technologyNVIDIA SLI readyGame Ready DriversLED Lighting,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,211 mm,NONE,256-Bit,8GB,GDDR5X,ZT-P10800H-10P,4,OpenGL 4.5,Microsoft Windows 10 / 8 / 7,NONE,Accessories:Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual,8-Pin,NONE,"Yes, SLI HB Bridge Supported",NONE,NONE,Dual Slot,NONE,Recommended Power Supply: 500WPower Consumption: 180W,180W,Yes,-53,211.074,124.96799999999999
ZOTAC,GTX 1080,"ZOTAC GeForce GTX 1080 AMP! Extreme, ZT-P10800B-10P, 8GB GDDR5X IceStorm Cooling, Metal Wraparound Carbon ExoArmor exterior, Dual-blade EKO Fan, Spectra Lighting, PowerBoost, FREEZE fan stop",$799.00 –,4.0,,https://www.newegg.com/zotac-geforce-gtx-1080-zt-p10800b-10p/p/N82E16814500399?Description=GTX,NONE,1911 MHz,ZOTAC,2560,"12.80"" x 5.83""",NVIDIA,Triple Fan IceStorm,1771 MHz,1 x DL-DVI,25-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10.8 GHz,"IceStorm Cooling- Variably configured copper heatpipes (4 x 8mm, 2 x 6mm) - Massive wide array aluminum fin stack Metal Carbon ExoArmor- Full Metal front and back protection with a metal front shroud and a metal wraparound backplate enhancing coverage and unifying design- Detailed with carbon fiber utilizing a water transfer printing process- The rigid metal help reduce vibrations which also help reduce noiseSpectra lighting system- LED lighting on the front. - Select from up to 7 colors + off- up to 8 levels of brightness- 4 lighting modes: Static, Breathe, Strobe, and CycleEKO Fans- Push up to 30% more airflow- Up to 15% more downward pressure- Patented dual-blade design- Reduction in deadzone, allowing more airflow coverage than ever beforePowerBoost-  Special capacitors with high temperature and power resistance. - Benefit of reducing noise and power ripples to ensure a smoother inflow of power for high speed stability. Freeze- Fan stop automatically starts or stops the fans- Extend the life of the fans- Reduce noise performance",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,325 mm,NONE,256-Bit,8GB,GDDR5X,ZT-P10800B-10P,4,OpenGL 4.5,Windows 10 / 8 / 7,NONE,Accessories:2 x Black mesh wrapped Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual,2 x 8-Pin,NONE,2-Way SLI,NONE,NONE,2.5 slots,NONE,Recommended Power Supply: 500WPower Consumption: 270W,180W,Yes,-45,325.12,148.082
